Make,Generic model 1,Matched_genmodel_ID,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
ABARTH,ABARTH 124,2_1,0.0,19.0,27.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABARTH,ABARTH 500,2_2,0.0,0.0,1.0,2.0,66.0,717.0,762.0,545.0,763.0,882.0,915.0,766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABARTH,ABARTH 595,2_4,2144.0,2866.0,3907.0,3295.0,3132.0,1612.0,516.0,491.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABARTH,ABARTH 695,2_6,45.0,65.0,270.0,114.0,29.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABARTH,ABARTH PUNTO,2_9,0.0,0.0,0.0,0.0,0.0,0.0,56.0,75.0,90.0,120.0,97.0,172.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABARTH,ABARTH SPIDER,2_1,0.0,223.0,777.0,409.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACURA,ACURA TL,100_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
AIXAM,AIXAM 500,3_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,0.0
AIXAM,AIXAM A751,3_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,13.0,10.0,23.0,13.0,0.0,0.0,0.0,0.0
AIXAM,AIXAM COUPE,3_5,0.0,0.0,0.0,0.0,3.0,5.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIXAM,AIXAM CROSSLINE,3_1,0.0,0.0,0.0,6.0,15.0,16.0,10.0,20.0,31.0,69.0,39.0,50.0,39.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
AIXAM,AIXAM CROSSOVER,3_6,0.0,2.0,32.0,51.0,50.0,43.0,48.0,34.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIXAM,AIXAM MEGA,3_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
AIXAM,AIXAM SCOUTY,3_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
ALFA ROMEO,ALFA ROMEO 147,4_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,268.0,744.0,652.0,497.0,473.0,377.0,466.0,339.0,140.0
ALFA ROMEO,ALFA ROMEO 156,4_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,21.0,312.0,383.0,373.0,286.0,215.0
ALFA ROMEO,ALFA ROMEO 159,4_4,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,95.0,517.0,813.0,1104.0,1218.0,1407.0,564.0,1.0,0.0,0.0,0.0,0.0
ALFA ROMEO,ALFA ROMEO 166,4_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,53.0,42.0,28.0,29.0,35.0
ALFA ROMEO,ALFA ROMEO 4C,4_7,0.0,2.0,13.0,106.0,116.0,68.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALFA ROMEO,ALFA ROMEO 8C,4_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALFA ROMEO,ALFA ROMEO BRERA,4_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,103.0,445.0,548.0,483.0,503.0,0.0,0.0,0.0,0.0,0.0
ALFA ROMEO,ALFA ROMEO GIULIA,4_10,676.0,1392.0,1427.0,1849.0,159.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ALFA ROMEO,ALFA ROMEO GIULIETTA,4_11,524.0,564.0,834.0,1486.0,2763.0,3019.0,3206.0,3242.0,3721.0,6026.0,2084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALFA ROMEO,ALFA ROMEO GT,4_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,116.0,174.0,734.0,800.0,480.0,427.0,206.0,0.0,0.0,0.0
ALFA ROMEO,ALFA ROMEO GTV,4_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,50.0,73.0,118.0,143.0
ALFA ROMEO,ALFA ROMEO MITO,4_14,0.0,36.0,378.0,706.0,1444.0,1592.0,1734.0,1801.0,2521.0,3188.0,3977.0,4797.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALFA ROMEO,ALFA ROMEO SPIDER,4_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,103.0,114.0,518.0,497.0,9.0,47.0,53.0,62.0,69.0,184.0
ALFA ROMEO,ALFA ROMEO STELVIO,4_16,679.0,1159.0,1023.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
